Anime_ID|Staff_ID
6592|21259;4232;431;4232;8134;65000;324;1225;1724;3456;4093;4537;4662;5455;5935;8471;8811;11986;12273;20515;21259;22464;22577;34849;54288;65000;85240;5935;7500;10227;11890;15218;20515;21003;21259;22576;25581;34072;34849;35485;35769;46698;50289;54288;65000;65388;65504;21003;22464;54288;65000;435;25493;5766;70249;5843;18245;4689;12965;19511;19616;22469;38866;38868;39289;46552;64581;5843;12527;73;3447;5113;5843;5978;8811;10443;12527;13474;13904;15218;18289;18314;19996;21492;21787;31233;34475;39026;46536;50138;52932;53569;61767;65224;65225;66469;82677;64581;14021;62097;25502;936;2091;15639;22721;22754;22969;22977;30101;30221;30320;32378;32412;39867;41093;41094;42046;42049;47119;48803;67652;739;742;751;752;924;1599;2463;2969;3935;3945;4316;4325;7261;8671;16461;16637;43633;60639;60751;67144;67145;67185;69865;70075;31683;31688;32154;32155;32388;32390;32816;33714;50493;50502;50510;50521;50603;52066;52077;52077;52078;52145;52145;59608;59612;62323;62323;64524;68580;69015;71564;87428;98157;107845;29185;40007;45158;51953;52109;53591;53714;53989;56996;57035;26054;26171;26312;26584;27179;27425;38106;51269;53264;144564;277;282;527;551;949;1012;1038;1156;2164;2170;2389;2414;3224;3253;5410;6581;6844;8004;8090;10397;21647;39770;62915;14486;73366;73370;90680;90692;90693;96175;96196;96256;96259;96293;96343;96347;96381;96385;96446;96447;96473;96565;48822;48829;48831;48837;48838;48859;48860;49428;49551;49553;50055;58565;60409;66560;66561;71611;74861;74862;74863;75561;15937;38929;38931;38931;38935;38936;38936;39024;39024;42178;42178;49528;49528;49528;50594;50594;58345;105153
5923|25257;25257;17448;45768;48413;398;713;3022;3896;8335;8927;9495;9803;17294;19866;21262;25257;39761;50037;70699;3896;8927;9150;9803;14044;17294;19866;21262;25257;39761;46101;50037;56195;70699;565;36831;64;1683;64;64;7593;9495;12527;17294;18297;18314;18318;19929;21266;21492;25379;30408;35725;44258;49808;51242;75758;5458;49587;31614;46525;49583;49585;1116;20935;55284;73753;119490;89309;384;1176;39383;38280;50144
15223|51887;35879;278;427;443;551;692;722;775;806;808;910;912;1456;1465;1500;2410;4271;5894;6581;8851;9190;9194;15878;16095;25129;39029;56874;85990
12368|19866;39695;272;2787;17294;19533;19866;24475;65000;79372;272;6404;17294;19866;24475;44215;65000;79372;19866;98430;21266;56040;21266;4088;11830;11869;13584;15803;21266;30029;34283;35008;36452;44269;49799;56204;59379;82914;8466;204;204;74120;98429;22742;30198;33571;67598;67599;67600;70201;70250;72229;107476;135429;136122;44876;45098;51099;51100;53232;61365;1207;3253;5039;12163;38425;57741;62870;63126;63462;70817;91009;95225
6113|14130;110;110;4629;22523;44934;14130;53216;3895;14130;39253;5689;22782;25703;3360;20250;3360;10633;34417;35725;40236;40347;979;4600;27925;61695;61696;69084;70281;32390;50521;50562;50568;50753;50813;63313;65962;334;808;1010;1568;3166;4269;17254;17353
12835|51887;38270;429;38270;81891;272;3616;5846;12554;15125;21893;23964;35809;37273;45782;51887;79372;79932;105990;12554;15125;21893;23964;35809;37273;45782;51887;79372;79932;81296;105990;67671;35879;14762;21832;14762;14936;15125;18315;31186;35199;37067;45203;47471;47494;47500;49507;56101;58601;59988;72262;78177;82919;88872;94354;3637;36033;49042;4879;32143;33086;23490;48620;101148;278;443;551;662;775;806;808;838;910;3581;4271;5894;6581;13321;43173;38916;38916;38935;39027;39029;42178;42178;50231;50231;56874;58713;85990
6704|3109;26763;36992;21798;26763;36992;2333;3109;10002;10957;18525;63818;5857;9462;14479;14731;18525;34872;45782;55305;62485;14473;2635;8952;19;3109;26763;5765;7669;13745;9;7669;12244;14471;9;1761;7595;7599;7669;7726;10548;11472;12244;14471;20775;22550;22551;23360;25194;25213;28004;29593;34998;37787;38887;41252;42241;58789;63378;76844;101215;12244;136;3080;12244;16403;7588;2949;46540;14479;18630;4881;8468;13585;18624;22711;22726;22936;22976;27476;28547;28552;28930;30319;30956;33353;33716;39867;41089;41112;41995;49359;61240;61241;68481;1074;1283;1389;1419;1435;1438;2255;2258;2532;3032;3538;4019;4035;7109;7125;11767;13201;17357;20166;20935;25241;29218;42256;54984;55038;28718;29182;29182;31238;38383;38551;38760;38772;44992;45719;51622;55847;57450;59010;70472;72972;8999;18201;26008;26012;26047;26048;26051;26053;26054;26055;26160;26165;26191;26194;26240;26312;26382;26547;26561;26584;26588;26609;26612;26617;26992;27001;27002;27034;27425;27583;27600;28466;29556;35847;38012;40724;40726;43093;44700;46997;47035;50865;51110;51112;51277;52607;53523;53525;59722;60184;61217;70276;70851;71347;71788;72436;74265;74335;99804;126008;126202;285;337;387;439;542;912;1030;1137;1376;1495;1500;2068;2163;3170;3176;5039;5047;6844;9961;13291;17254;65578;15939;15939;35531;38927;38927;38927;42182;42182;42182;42182;43279;43279;43279;49417;49417;51983;52005;52005;52005;52005;52005;52005;56587;58249;59745;59745;59745;59745;66659;72628;72628;95901
12398|7659;76253;76253;2787;4081;6963;7659;8932;47674;78314;2337;7659;34655;44792;47674;54525;78314;55126;80600;41024;58817;41024;3022;4530;4610;8932;30074;33439;36943;40390;41024;44787;49739;424;5725;30626;58029;95766;98586;98587;102974;45975;90797;98429;102977;527;1376;1568;8505;17695;59070;96014;101483;101811;101812
8421|15;172;3682;15;15;172;541;644;3682;3696;7731;9802;12568;15162;22577;33486;643;17;16;3711;290;513;1163;3691;3734;15584;76604;14909;15;4288;22719;22724;22747;22754;22936;22969;22975;28955;30221;39870;48065;55830;58241;902;906;1131;1407;2479;2525;7734;10063;20342;31217;31220;58419;65527;3752;3753;3754;23490;32388;32390;32820;36891;36894;48572;48614;48615;50492;50493;50500;50502;50521;50557;50562;52078;52343;64524;127508;127509;3735;3736;3737;3738;3740;3743;29306;38760;38772;43191;51640;53043;54390;97227;8995;15625;15781;15784;25900;26121;26582;26587;26588;29555;35847;391;443;527;529;720;777;790;828;950;955;1009;1072;1465;48732;48740;48748;48756;48765;48817;48887;48942;58298;60847;64731;102767;132428
9210|10610;110;110;4629;22523;44934;9475;10610;21263;106151;9475;9692;10610;39253;57467;5689;22782;25703;3360;47879;3360;10633;7488;10633;23359;38824;39538;41661;63210;69863;73143;106161;979;4600;561;61695;106149;106150;334;808;1010;1568;3166;4269;17254;17353
3750|2637;7202;7202;16992;20511;20515;35200;36665;79952;84559;84601;84621;89967;70;909;1204;1225;2637;2748;2778;2787;2906;4641;5455;5839;6647;7257;7343;7588;12273;20515;22267;23846;32178;34392;35713;37785;57848;65000;909;1204;1225;2637;2748;5839;6963;7588;12273;15067;18000;20515;21263;23846;34392;35713;37785;61248;65000;84627;3110;7081;4658;14070;13;647;12965;14872;27347;27348;34579;84553;1296;4641;10058;14070;15570;32178;670;1296;1715;2244;5891;6647;6656;7513;7735;8811;8932;9641;10058;10708;12881;15570;30342;33319;35609;35809;36654;75774;84554;4658;44;23738;24374;936;11637;15639;23736;1090;1389;1438;4036;4824;5052;7108;7109;26532;63324;33715;47721;50488;50500;50741;62140;28711;40003;53219;53257;53641;53662;53715;56439;490;1012;1249;1529;2130;3166;5658;14730;90685;96176;96178;96187;96192;96198;96416;96420;96475;96544;38929;49417;49417;49417
10580|3154;63946;18588;45073;63946;113625;3875;4093;14480;15373;15632;39496;3154;3875;34078;39496;85981;8952;3137;41405;44820;35614;19491;29718;21362;34768;41405;44820;48289;18554;15047;45588;4879;31612;37843;80788;794;1137;1207;1506;4135;5039;5918;5918;7766;9810;18859;28816;62335;63126;73189
10544|4068;50273;22372;4068;17;20429;36061;81089;4197;4197;2780;6647;14070;15570;81090;30120;24343;2019;4203;14024;56387;81087;30101;67606;111193;130540;145945;2555;29208;31220;65527;73304;32390;50521;52150;106790;118959;21023;27771;53258;53989;25645;26389;68702;71174;71683;1212;53951;58096;77339;77341;73367;96178;96183;96295;96473
152|773;773;30830;1541;1698;1541;1695;2949;11077;1697;1699;22724;28521;28523;1705;1706;1707;2492;3542;83471;110857;31687;31688;48614;49692;50493;62323;62323;101148;39988;69308;25901;26003;126023;131045;1701;1702;1704
8495|91;91;5720;5721;10038;28137;31188;45420;58;91;1287;3027;4143;13886;15162;18874;22811;49515;108024;420;1287;14761;15162;18874;22811;49515;108024;734;2993;28136;420;5601;311;36222;405;420;1713;1715;3913;5601;7332;8221;9232;15134;5830;66656;407;424;315;466;467;22547;28137;530;1074;1090;1159;1419;2255;3032;4033;4994;7187;7979;7982;26927;39329;40225;40684;48358;50205;144147;547;832;851;929;1009;1022;3060;5730;8136;8860;10930;16318;54650
6696|3487;3487;3487;14455;61884;3487;27552;61883;64084;3487;61884;3487;28547;47284;107476;1065;1283;9293;16555;21909;70467;50562;52078;69013;38772;76518;10209;28785;61389;61390;69064;69065;69066;69145
1139|70;7202;7202;16992;1609;2778;5757;5957;7494;2842;7494;24049;25764;11229;18291;21669;61811;317;226;532;3089;3664;3805;4141;4558;6750;13265;13706;17359;29334;3761;23442;23452;23792;24088;31134;32077;36809;37005;3735;40003;43197;45713;51159;57035;57276;529;548;949;1307;3160;8136;12418;96600;15932;15932;15932;15933;15937;15939;38929;38943;39024
2960|3891;2633;4232;4629;8823;11997;12773;38270;1724;3027;3474;3614;3858;3891;8850;9802;12158;13624;13831;14907;15162;22464;27538;36193;42864;50022;68504;68505;3027;3474;3555;3613;3614;3858;3891;12158;13624;14907;22464;23122;27538;27969;31745;32213;36193;37785;42864;47937;50022;1565;17621;7497;17986;22876;35063;39284;39285;39286;39287;115253;115254;11;2183;3555;3913;5383;5833;7494;7497;9959;10234;10443;13552;15217;15218;16961;26469;27968;32794;32796;34549;40496;43251;48034;59343;17623;317;14909;39291;1286;14945;39310;726;8181;13586;22737;22754;22934;22969;22977;28547;28908;30320;32380;32405;32413;39867;39932;41092;44800;44853;47118;48802;63654;68256;72532;746;1062;1108;1116;1127;1386;1389;1665;1665;2074;2516;2517;9199;10070;10246;12493;20342;20342;20935;29271;30495;39188;44888;49019;2831;24079;38506;38746;38747;42318;47456;47735;47735;47772;48552;48553;48554;48555;48569;49753;50374;50375;50569;50573;50622;50625;50702;50910;50921;50931;51564;52029;52030;59617;62599;3748;38549;38726;38727;38728;38731;38733;45722;53712;63571;51100;53232;281;436;510;548;698;718;778;794;808;949;1462;1588;1630;2081;2125;2172;3060;4038;5108;9935;19037;48696;14489;73370;73374;90681;96183;96185;96192;96193;96263;96290;96290;96347;96350;96388;96400;96411;96468;96623;96623;96631;96805;96806;118474;118872;48732;48738;48743;48746;48749;48755;48756;48757;48758;48761;48776;48779;48784;48810;48865;48871;48873;48874;48884;48928;49429;49599;49606;49624;50144;15932;39024;39024;39024;42182;43334
6733|4068;50273;8155;44610;17;1698;17986;33525;59347;88;6647;48183;24556;13731;13740;12442;14024;36975;56387;22723;25567;30107;30228;41967;46842;67975;741;1599;4316;8283;67144;71659;71660;31688;32155;32390;32820;50492;50492;50502;50519;52078;69797;71912;38751;38760;43191;45722;52645;53712;55614;18120;26258;38108;45098;71141;71142;71143;17382;58091;58092;58093;58094;58095;58096;69115;69121;69125;69139;69140;70520;70521
7010|12534;3148;3148;3150;32136;245;4093;12534;31361;32692;55124;245;2337;3614;7296;34872;60763;55126;30932;3022;251;3022;34429;36455;51021;56213;58425;61594;8466;18024;14378;19267;46708;97670;533;2532;3664;3675;4141;7109;13265;22178;39810;38507;38507;38747;42318;48569;50168;57484;58184;74011;525;529;551;3160;3166;7198;14440;17354;37415;14486;90677;90678;90679;90680;90681;90682;90683;90684;48733;48736;48749;48755;48758;48761;48765;48893;49238
14996|51887;38270;7756;12554;35809;51887;64718;35879;12554;35809;45782;51887;64718;81296;67671;35879;35879;14762;46731;14762;14762;18315;22552;32898;35199;47471;49507;49911;56101;78177;3637;36033;49042;11373;39602;64253;64836;82112;107590;122535;33086;86995;122595;278;443;551;662;775;806;808;838;910;912;1009;1465;1500;1501;1583;3581;4271;5894;9194;14730;16095;43173;51073
13776|141;20758;141;141;325;402;2580;18240;4;15;54;141;291;644;2802;4537;5802;7731;7757;9802;10445;10857;11250;13624;20758;885;1935;3614;3696;4081;4891;5802;5935;7757;10499;12554;20758;30665;39426;54956;79956;111171;20758;62499;3138;5554;30408;14;13552;125;141;6061;8763;108516;6586;3481;18077;194;495;1220;4569;12086;14945;41685;49200;79222;91046;91047;95268;101821;112864;119269;74118;78325;78463;90277;97514;97675;112865;119263;281;281;427;445;503;542;693;697;832;949;954;1009;1030;1178;1250;1505;2132;2177;2383;5894;7134;7198;8091;14929;16411;16487;16520;17353;17695;18713;22271;53773;67469;68750;68750;68750;71069;74588;80647;102257;102270
180|51;51;20600;1196;51;51;2665;4383;2665;2228;1187;1699;2662;773;21772;28490;28899;28913;28950;32104;46395;47416;55293;5490;18046;18379;19990;19991;33141;23972;31513;31519;31668;50631;50693;50701;50733;53311;64598;91867;98201;26195;26307;26540;26564;27425;56080;787;1022;2037;15629;96423;96518;96698;96874;98266
6698|915;57806;3448;7736;16139;20511;57806;172;915;1802;3682;3696;7736;8358;9495;11208;12651;16139;38892;43192;44817;55016;61940;106093;272;915;1519;1802;3696;6704;7736;8103;12551;13831;13886;16139;38892;42864;44817;57468;61940;65422;89837;106093;1519;16139;132;12568;328;310;562;716;1521;1728;3702;8175;9495;11232;12568;22143;25379;31564;32796;36452;40355;44613;48034;48183;51096;55016;56302;77467;106093;3702;9451;5945;63543;10706;17526;58762;22714;22725;22762;22957;22965;22969;22972;27477;28550;30216;42015;46842;49821;55668;59073;63663;68481;70011;70201;70250;72717;533;907;1091;1283;1390;2256;2258;2261;3419;4035;6261;6845;7006;7109;7125;13201;14772;25241;49889;64567;67791;70284;71306;111881;16172;28714;29284;38551;38551;43187;43197;52131;52284;53258;62582;26060;26165;26508;27177;27425;38012;40725;44700;47035;51102;53273;61334;70276;72437;72571;72571;85923;411;440;780;1456;1497;1568;3131;8073;16411;17353;17353;20999;28816;60780;90680;90688;90688;96182;96272;96274;96324;96350;96380;96380;96380;96383;96393;96393;96414;96420;96454;69062;69102;69114;69122;69126;69145;73669;76466;76467;83157;83159
13262|25764;21730;64265;3785;8134;21730;50326;64265;89691;70;885;2778;5169;7343;8734;11374;12273;16977;18000;20513;21227;22270;24049;25764;30025;30027;35200;42864;58492;65000;65993;67114;75812;81645;94498;94699;101394;105591;108004;113995;121034;885;14761;16977;18000;19006;20513;30025;58492;59453;67114;75435;75812;81645;94498;94699;100398;100908;105591;108004;113961;30025;65000;94498;94699;105591;435;1608;71;18245;8753;9634;18245;35698;53485;81900;83094;84012;103581;71;71;13590;26748;30025;43254;46702;47083;52820;55764;56209;56220;58652;59038;59446;61811;67936;77117;83657;99772;104634;104762;113511;14021;26340;58827;59642;2019;2091;15019;15639;84891;104366;104555;3050;62521;63324;68135;104916;124478;126711;21025;28707;29182;38549;38770;38772;45155;45719;51648;55620;65078;68126;277;282;296;448;507;542;659;662;693;832;832;846;949;1014;1015;1034;1034;1289;1465;1506;1529;1568;1584;1669;2076;2164;3122;3166;3252;5108;5410;5658;5735;6581;8090;9860;10397;10402;16487;17481;18813;20999;27752;32078;39770;40048;46112;53711;56091;56329;68750;94314;102198;102425;104148;104148;104959;120485;126955;128629;14489;73366;73370;90691;96191;96257;96272;96306;96350;96383;96416;96473;96602;15925;15925;15925;38936;42182;43334;50594;50594;50594
13862|4068;4068;50273;110442;4068;17;33;4061;30120;2019;14024;56387;81087;22745;22972;28955;30957;30958;48061;65799;75662;96682;107476;108488;130349;130350;9293;20342;26347;57987;71281;80792;106830;32155;32390;50492;50568;68581;99645;112956;26048;27583;35847;72571;113996;10408;67815;114728;114729;114730;114731;114732;73370
7492|5380;18669;18669;2747;5380;9807;10960;22614;2747;3613;4570;5380;9630;9807;10960;15643;31137;34849;49322;52699;22350;62522;64830;32;79077;32;4104;5113;7506;7513;7524;8052;15694;19491;30365;34849;39226;40347;73143;979;60320;2074;2517;7107;10063;20342;29271;31220;35993;42612;43217;62405;65527;67543;71281;73304;74042;111881;90176;102731;102732;133395;133419;133419;277;507;949;1456;2132;3160;4271;5041;5918;8851;13834;16095;19366;20999;21028;21028;24807;65982
534|51;51;51;1196;51;2207;1812;2207;226;1187;1699;25568;28502;28900;48379;61328;71856;71857;2208;2209;2211;2213;3955;14813;22154;22155;22778;22780;39314;23479;23785;23788;24096;30911;31688;50363;50569;50831;50912;50918;52295;69626;76030;91653;97766;126154;3735;18197;26010;26612;26863;26984;27425;28083;50982;53699;95388;119741;126699;282;663;3075;3107;26423;30682;30684;67254;86222;98095;126797;48761;50019
13600|5380;325;325;402;8823;16408;1238;2637;5380;10960;37696;46292;47629;49349;2637;5380;46292;47629;49349;57361;92079;5380;22350;25293;8052;8102;8052;4082;5113;5828;7524;8052;8226;23136;30366;41127;44271;56213;5380;47988;75388;90136;98594;117531;443;722;1010;3160;3485;5735;5902;8342;14385;16411;32323;48696
6440|19866;515;515;4093;12534;19866;29714;31361;55124;56281;1572;3614;4093;19866;25853;29714;31363;34872;16246;56741;39771;3022;4049;10852;4093;7464;10852;15208;15799;20537;25765;36451;36455;51021;58425;8466;7588;19267;42393;54263;58030;58031;97670;147331;532;4141;5490;7108;13201;14772;16443;21805;25241;63324;67791;67791;70281;70284;70285;70288;71040;74779;31679;31681;41724;50557;59611;69014;71106;75997;76218;76272;146322;384;698;798;806;910;949;1376;4667;5902;7629;17695;39770
6431|9087;8956;8956;9087;9153;27995;37454;39701;62666;9087;9153;27995;37454;39701;62666;112018;9087;1373;51681;55083;48291;27993;38079;27993;7692;9092;27993;28849;37455;37457;37459;38075;38079;254;17907;13293;15892;16973;60001;2517;7734;7798;20342;20771;29271;44595;46544;53436;53593;58058;67538;386;522;524;525;526;527;528;529;810;910;1460;15169
1965|39;325;39;593;3897;42949;39;2232;26741;42949;49222;51788;6973;21360;15888;327;12274;626;2672;8226;11213;14380;15426;18356;21490;33121;49222;60199;254;13611;14378;22723;32615;49821;50796;56268;2073;3516;53157;55614;10214;15449
7998|53927;53927;53927;53927;53927;54189;53167;53927;73364;337;697;910;950;1004;1010;1072;1178;2112;4667;5047;5735;14132;16411
153|1609;10424;1609;14948;54335;54335;4308;14948;650;5793;4114;13;10681;22838;1286;4580;10680;539;539;1184;1184;1184;1184;1184;1401;1401;1401;1401;1402;1402;1402;2532;2532;2532;2533;2533;2534;2535;2536;3666;3666;3666;3805;5194;5194;5194;5194;7125;7125;13205;21629;22178;22178;25157;25157;35870;35870;66657;66657;66657;70285;38771;25902;26003;26004;27325;51232;390;529;912;1307;3017;3247;90685;90686;96180;96183;96186;96262;96296;96341;96387;96411;38935;39769;46650
10387|22184;16992;6404;16992;59034;60775;76984;2778;6404;7343;15734;17245;20513;22184;24049;30804;31247;33277;46901;75435;82057;6404;20513;31247;33277;34258;46901;51185;54076;65504;71130;75435;79991;80121;82057;85981;435;5957;7494;1296;2276;5453;7494;7513;8404;21492;24229;34800;36491;37793;40347;49810;870;529;548;949;1307;2149;8136;12418;73189;15932;15932;15937;15939;38929;38935;39024
10254|5380;358;248;358;9151;18669;84928;1238;1478;5380;7508;9807;10960;11374;11609;22614;32001;74492;1238;5380;7508;11609;47629;49322;50312;74492;77153;5380;32001;22350;25293;8052;8102;4082;8052;4082;8052;32001;38987;41127;5380;47988;88942;89608;117531;278;443;722;3160;5735;5902;14385;16411;32323
